id,title,release_year,country,duration,language,certification,gross,budget
2481,The Weather Man,2005,USA,102,English,R,12469811,22e6
2482,The Wedding Date,2005,USA,90,English,PG-13,31585300,15e6
2483,The Wendell Baker Story,2005,USA,99,English,PG-13,127144,8e6
2484,The White Countess,2005,UK,135,English,PG-13,1666262,16e6
2485,The Work and the Glory II: American Zion,2005,USA,100,English,PG-13,2024854,65e5
2486,The World's Fastest Indian,2005,New Zealand,127,English,PG-13,5128124,25e6
2487,Three Burials,2005,France,107,English,R,5023275,15e6
2488,Thumbsucker,2005,USA,96,English,R,1325073,4e6
2489,Transamerica,2005,USA,103,English,R,9013113,1e6
2490,Transporter 2,2005,France,87,English,PG-13,43095600,32e6
2491,Tristram Shandy: A Cock and Bull Story,2005,UK,94,English,R,1247453,28e5
2492,Trust the Man,2005,USA,103,English,R,1530535,9e6
2493,Tsotsi,2005,UK,94,Zulu,R,2912363,3e6
2494,Underclassman,2005,USA,95,English,PG-13,5654777,25e6
2495,Undiscovered,2005,Germany,97,English,PG-13,1046166,9e6
2496,Unleashed,2005,France,103,English,R,24520892,45e6
2497,V for Vendetta,2005,USA,132,English,R,70496802,54e6
2498,Valiant,2005,UK,76,English,G,19447478,35e6
2499,Wah-Wah,2005,UK,97,English,R,233103,7e6
2500,Waiting...,2005,USA,94,English,R,16101109,3e6
2501,Wal-Mart: The High Cost of Low Price,2005,USA,20,English,Not Rated,NA,15e5
2502,Walk the Line,2005,USA,153,English,PG-13,119518352,28e6
2503,War of the Worlds,2005,USA,116,English,PG-13,234277056,132e6
2504,Water,2005,Canada,117,Hindi,PG-13,3222857,NA
2505,Where the Truth Lies,2005,Canada,107,English,R,871527,25e6
2506,White Noise,2005,UK,101,English,PG-13,55865715,1e7
2507,Winter Passing,2005,USA,98,English,R,101228,35e5
2508,xXx: State of the Union,2005,USA,101,English,PG-13,26082914,87e6
2509,Zathura: A Space Adventure,2005,USA,101,English,PG,28045540,65e6
2510,10th & Wolf,2006,USA,107,English,R,53481,8e6
2511,16 Blocks,2006,Germany,102,English,PG-13,36883539,52e6
2512,300,2006,USA,117,English,R,210592590,65e6
2513,A Good Year,2006,USA,117,English,PG-13,7458269,35e6
2514,A Prairie Home Companion,2006,USA,105,English,PG-13,20338609,1e7
2515,A Scanner Darkly,2006,USA,100,English,R,5480996,87e5
2516,Akeelah and the Bee,2006,USA,112,English,PG,18811135,NA
2517,Alex Rider: Operation Stormbreaker,2006,Germany,93,English,PG,652526,4e7
2518,All the Boys Love Mandy Lane,2006,USA,90,English,R,NA,75e4
2519,All the King's Men,2006,Germany,128,English,PG-13,7221458,55e6
2520,Alone with Her,2006,USA,78,English,Not Rated,10018,1e6
2521,American Dreamz,2006,USA,107,English,PG-13,7156725,19e6
2522,An Inconvenient Truth,2006,USA,96,English,PG,23808111,NA
2523,Apocalypto,2006,USA,139,Maya,R,50859889,4e7
2524,Aquamarine,2006,USA,104,English,PG,18595716,12e6
2525,Arthur and the Invisibles,2006,France,94,English,PG,15131330,86e6
2526,ATL,2006,USA,105,English,PG-13,21160089,NA
2527,Babel,2006,France,143,English,R,34300771,25e6
2528,Bandidas,2006,France,93,English,PG-13,NA,32e6
2529,Barnyard,2006,Germany,90,English,PG,72601713,51e6
2530,Basic Instinct 2,2006,UK,116,English,R,5851188,7e7
2531,Beer League,2006,USA,86,English,R,475000,28e5
2532,Beerfest,2006,USA,110,English,R,19179969,175e5
2533,Bella,2006,USA,91,English,PG-13,8108247,33e5
2534,Big Momma's House 2,2006,USA,99,English,PG-13,70163652,4e7
2535,Black Book,2006,Netherlands,145,Dutch,R,4398392,21e6
2536,Black Christmas,2006,USA,94,English,R,16235293,9e6
2537,Black Snake Moan,2006,USA,116,English,R,9396487,15e6
2538,Blood Diamond,2006,Germany,143,English,R,57366262,1e8
2539,Bobby,2006,USA,112,English,R,11204499,14e6
2540,Bon Cop Bad Cop,2006,Canada,116,English,R,NA,8e6
2541,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,USA,82,English,R,128505958,18e6
2542,Captain Alatriste: The Spanish Musketeer,2006,Spain,145,Spanish,NA,NA,24e6
2543,Cars,2006,USA,117,English,G,244052771,12e7
2544,Casino Royale,2006,UK,144,English,PG-13,167007184,15e7
2545,Casino Royale,2006,UK,144,English,PG-13,167007184,15e7
2546,Catch a Fire,2006,France,98,English,PG-13,4291965,14e6
2547,Charlotte's Web,2006,USA,97,English,G,82506325,NA
2548,Children of Men,2006,USA,109,English,R,35286428,76e6
2549,Clerks II,2006,USA,97,English,R,24138847,5e6
2550,Click,2006,USA,107,English,PG-13,137340146,7e7
2551,Come Early Morning,2006,USA,97,English,R,117560,6e6
2552,Copying Beethoven,2006,USA,104,English,PG-13,352786,11e6
2553,Crank,2006,USA,93,English,R,27829874,12e6
2554,Crazy Stone,2006,China,98,Mandarin,NA,NA,3e6
2555,Crossover,2006,USA,95,English,PG-13,7009668,56e5
2556,Curious George,2006,USA,78,English,G,58336565,5e7
2557,Curse of the Golden Flower,2006,China,114,Mandarin,R,6565495,45e6
2558,Date Movie,2006,USA,85,English,PG-13,48546578,2e7
2559,Deck the Halls,2006,USA,93,English,PG,35092918,NA
2560,DOA: Dead or Alive,2006,USA,87,English,PG-13,480314,21e6
2561,Doogal,2006,USA,77,English,G,7382993,2e7
2562,Dreamgirls,2006,USA,130,English,PG-13,103338338,7e7
2563,Driving Lessons,2006,UK,98,English,PG-13,238774,NA
2564,Eight Below,2006,USA,120,English,PG,81593527,4e7
2565,Employee of the Month,2006,USA,103,English,PG-13,28435406,12e6
2566,Eragon,2006,USA,104,English,PG,75030163,1e8
2567,Exiled,2006,Hong Kong,110,Cantonese,R,49413,35e6
2568,Eye of the Dolphin,2006,USA,100,English,PG-13,71904,25e5
2569,Facing the Giants,2006,USA,111,English,PG,10174663,1e5
2570,Factory Girl,2006,USA,99,English,R,1654367,7e6
2571,Failure to Launch,2006,USA,95,English,PG-13,88658172,5e7
2572,Faith Like Potatoes,2006,South Africa,116,Zulu,PG,NA,1e7
2573,Farce of the Penguins,2006,USA,80,English,R,NA,NA
2574,Fido,2006,Canada,93,English,R,298110,8e6
2575,Final Destination 3,2006,Germany,86,English,R,54098051,25e6
2576,Find Me Guilty,2006,Germany,125,English,R,1172769,13e6
2577,Firewall,2006,USA,105,English,PG-13,48745150,5e7
2578,Flags of Our Fathers,2006,USA,135,English,R,33574332,9e7
2579,Flicka,2006,USA,95,English,PG,20998709,15e6
2580,Flushed Away,2006,UK,85,English,PG,64459316,149e6
2581,Flyboys,2006,UK,140,English,PG-13,13082288,6e7
2582,For Your Consideration,2006,USA,86,English,PG-13,5542025,12e6
2583,Friends with Money,2006,USA,88,English,R,13367101,65e5
2584,Fur: An Imaginary Portrait of Diane Arbus,2006,USA,122,English,R,220914,168e5
2585,Garfield 2,2006,UK,86,English,PG,28424210,NA
2586,Glory Road,2006,USA,118,English,PG,42643187,NA
2587,Grandma's Boy,2006,USA,90,English,R,6088249,NA
2588,Gridiron Gang,2006,USA,125,English,PG-13,38432823,3e7
2589,Half Nelson,2006,USA,106,English,R,2694973,7e5
2590,Happily N'Ever After,2006,USA,75,English,PG,15519841,47e6
2591,Happy Feet,2006,USA,108,English,PG,197992827,1e8
2592,Hatchet,2006,USA,93,English,R,NA,15e5
2593,Hoot,2006,USA,91,English,PG,8080116,15e6
2594,I Served the King of England,2006,Czech Republic,113,Czech,R,617228,8445e4
2595,I Want Someone to Eat Cheese With,2006,USA,80,English,R,194568,15e5
2596,Ice Age: The Meltdown,2006,USA,115,English,PG,195329763,8e7
2597,Idiocracy,2006,USA,84,English,R,438653,NA
2598,Idlewild,2006,USA,121,English,R,12549485,15e6
2599,In Her Line of Fire,2006,Germany,88,English,R,721,1e6
2600,Infamous,2006,USA,118,English,R,1150403,13e6
2601,Inside Man,2006,USA,129,English,R,88504640,45e6
2602,Ira & Abby,2006,USA,101,English,R,220234,35e5
2603,Iraq for Sale: The War Profiteers,2006,USA,75,English,NA,NA,75e4
2604,Jackass Number Two,2006,USA,92,English,R,72755517,NA
2605,Jimmy and Judy,2006,USA,99,English,R,NA,1e6
2606,Jindabyne,2006,Australia,118,English,R,399879,15e6
2607,Journey from the Fall,2006,USA,135,Vietnamese,R,638951,1592e3
2608,Just My Luck,2006,USA,103,English,PG-13,17324744,28e6
2609,Kabhi Alvida Naa Kehna,2006,India,193,Hindi,R,3275443,7e8
2610,Keeping Up with the Steins,2006,USA,90,English,PG-13,4328294,NA
2611,Krrish,2006,India,168,Hindi,Not Rated,NA,1e7
2612,Lady in the Water,2006,USA,110,English,PG-13,42272747,7e7
2613,Lage Raho Munna Bhai,2006,India,144,Hindi,PG-13,NA,12e7
2614,Lake of Fire,2006,USA,152,English,Unrated,23807,NA
2615,Larry the Cable Guy: Health Inspector,2006,USA,89,English,PG-13,15655665,4e6
2616,Last Holiday,2006,USA,112,English,PG-13,38360195,45e6
2617,Let's Go to Prison,2006,USA,90,English,R,4613815,NA
2618,Letters from Iwo Jima,2006,USA,141,Japanese,R,13753931,19e6
2619,Little Big Top,2006,USA,83,English,NA,NA,24e4
2620,Little Children,2006,USA,137,English,R,5459824,26e6
2621,Little Miss Sunshine,2006,USA,101,English,R,59889948,8e6
2622,Littleman,2006,USA,98,English,PG-13,58255287,64e6
2623,London to Brighton,2006,UK,85,English,R,NA,5e5
2624,Love's Abiding Joy,2006,USA,87,NA,PG,252726,3e6
2625,Loving Annabelle,2006,USA,76,English,Not Rated,NA,1e6
2626,Lucky Number Slevin,2006,Germany,110,English,R,22494487,27e6
2627,Lucky Number Slevin,2006,Germany,110,English,R,22494487,27e6
2628,Madea's Family Reunion,2006,USA,107,English,PG-13,63231524,6e6
2629,Man of the Year,2006,USA,115,English,PG-13,37442180,2e7
2630,Marie Antoinette,2006,USA,123,English,PG-13,15962471,4e7
2631,Miss Potter,2006,UK,88,English,PG,2975649,3e7
2632,Mission: Impossible III,2006,USA,124,English,PG-13,133382309,15e7
2633,Monster House,2006,USA,91,English,PG,73661010,75e6
2634,My Super Ex-Girlfriend,2006,USA,95,English,PG-13,22526144,3e7
2635,Nacho Libre,2006,Germany,92,English,PG,80197993,32e6
2636,Night at the Museum,2006,USA,108,English,PG,250863268,11e7
2637,Notes on a Scandal,2006,UK,92,English,R,17508670,15e6
2638,Old Joy,2006,USA,76,English,Unrated,255352,3e5
2639,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,UK,97,English,PG-13,144431,1e6
2640,One Night with the King,2006,USA,123,English,PG,13391174,2e7
2641,One to Another,2006,France,95,French,Unrated,18435,14e5
2642,Opal Dream,2006,Australia,86,English,PG,13751,114e5
2643,Open Season,2006,USA,83,English,PG,84303558,85e6
2644,Out of the Blue,2006,New Zealand,100,English,NA,728,NA
2645,Over the Hedge,2006,USA,83,English,PG,155019340,8e7
2646,Pan's Labyrinth,2006,Spain,112,Spanish,R,37623143,135e5
2647,"Paris, je t'aime",2006,France,120,French,R,4857376,13e6
2648,Peaceful Warrior,2006,Germany,120,English,PG-13,1055654,1e7
2649,Perfume: The Story of a Murderer,2006,Germany,147,English,R,2208939,5e7
2650,Phat Girlz,2006,USA,99,English,PG-13,7059537,3e6
2651,Pirates of the Caribbean: Dead Man's Chest,2006,USA,151,English,PG-13,423032628,225e6
2652,Poseidon,2006,USA,98,English,PG-13,60655503,16e7
2653,Poultrygeist: Night of the Chicken Dead,2006,USA,103,English,Unrated,23000,5e5
2654,Pulse,2006,USA,90,English,PG-13,20259297,2e7
2655,Quinceañera,2006,USA,90,Spanish,R,1689999,4e5
2656,Rang De Basanti,2006,India,157,Hindi,Not Rated,2197331,NA
2657,Renaissance,2006,France,105,English,R,63260,14e6
2658,Rescue Dawn,2006,USA,120,English,PG-13,5484375,1e7
2659,Rocky Balboa,2006,USA,139,English,PG,70269171,24e6
2660,Running Scared,2006,Germany,122,English,R,6855137,17e6
2661,Running with Scissors,2006,USA,122,English,R,6754898,12e6
2662,Saw III,2006,USA,121,English,R,80150343,1e7
2663,Scary Movie 4,2006,USA,89,English,PG-13,90703745,45e6
2664,School for Scoundrels,2006,USA,108,English,PG-13,17803796,2e7
2665,Scoop,2006,UK,96,English,PG-13,10515579,4e6
2666,Scott Walker: 30 Century Man,2006,UK,95,English,NA,NA,5e5
2667,Severance,2006,UK,90,English,R,136432,5e6
2668,She's the Man,2006,USA,105,English,PG-13,33687630,2e7
2669,Sherrybaby,2006,USA,96,English,R,198407,2e6
2670,Shortbus,2006,USA,101,English,Unrated,1984378,2e6
2671,Silent Hill,2006,Canada,132,English,R,46982632,5e7
2672,Slither,2006,Canada,95,English,R,7774730,155e5
2673,Smokin' Aces,2006,UK,109,English,R,35635046,17e6
2674,Snakes on a Plane,2006,Germany,105,English,R,34014398,33e6
2675,Snakes on a Plane,2006,Germany,105,English,R,34014398,33e6
2676,Southland Tales,2006,France,160,English,R,273420,17e6
2677,Special,2006,USA,81,English,R,6387,1e6
2678,Stay Alive,2006,USA,75,English,PG-13,23078294,9e6
2679,Step Up,2006,USA,104,English,PG-13,65269010,12e6
2680,Stick It,2006,Germany,103,English,PG-13,26870825,NA
2681,Stranger Than Fiction,2006,USA,113,English,PG-13,40137776,38e6
2682,Superman Returns,2006,USA,169,English,PG-13,200069408,209e6
2683,Take the Lead,2006,USA,118,English,PG-13,34703228,3e7
2684,Talladega Nights: The Ballad of Ricky Bobby,2006,USA,122,English,PG-13,148213377,73e6
2685,The Ant Bully,2006,USA,88,English,PG,28133159,5e7
2686,The Astronaut Farmer,2006,USA,104,English,PG,10996440,13e6
2687,The Benchwarmers,2006,USA,75,English,PG-13,57651794,33e6
2688,The Black Dahlia,2006,Germany,121,English,R,22518325,5e7
2689,The Break-Up,2006,USA,106,English,PG-13,118683135,52e6
2690,The Bubble,2006,Israel,90,Hebrew,Unrated,155972,15e5
2691,The Covenant,2006,USA,97,English,PG-13,23292105,2e7
2692,The Da Vinci Code,2006,USA,174,English,PG-13,217536138,125e6
2693,The Dead Girl,2006,USA,93,English,R,17311,NA
2694,The Departed,2006,USA,151,English,R,132373442,9e7
2695,The Devil Wears Prada,2006,USA,109,English,PG-13,124732962,35e6
2696,The Fast and the Furious: Tokyo Drift,2006,USA,104,English,PG-13,62494975,85e6
2697,The Fountain,2006,USA,96,English,PG-13,10139254,35e6
2698,The Good German,2006,USA,105,English,R,1304837,32e6
2699,The Grudge 2,2006,USA,137,English,PG-13,39143839,2e7
2700,The Hills Have Eyes,2006,USA,108,English,R,41777564,15e6
2701,The History Boys,2006,UK,109,English,R,2706659,2e6
2702,The Hoax,2006,USA,116,English,R,7156933,25e6
2703,The Holiday,2006,USA,138,English,PG-13,63224849,85e6
2704,The Host,2006,South Korea,110,Korean,R,2201412,122155e5
2705,The Illusionist,2006,USA,110,English,PG-13,39825798,16e6
2706,The Illusionist,2006,USA,110,English,PG-13,39825798,16e6
2707,The Lake House,2006,USA,99,English,PG,52320979,4e7
2708,The Last King of Scotland,2006,UK,121,English,R,17605861,6e6
2709,The Lives of Others,2006,Germany,137,German,R,11284657,2e6
2710,The Magic Flute,2006,France,135,English,NA,NA,27e6
2711,The Marine,2006,USA,92,English,PG-13,18843314,2e7
2712,The Naked Ape,2006,USA,NA,English,NA,NA,NA
2713,The Namesake,2006,USA,122,English,PG-13,13569248,NA
2714,The Nativity Story,2006,USA,101,English,PG,37617947,3e7
2715,The Night Listener,2006,USA,81,English,R,7825820,4e6
2716,The Oh in Ohio,2006,USA,88,English,R,NA,5e6
2717,The Painted Veil,2006,China,125,Mandarin,PG-13,8047690,194e5
2718,The Pet,2006,USA,94,English,NA,NA,1e6
2719,The Pink Panther,2006,USA,93,English,PG,82226474,65e6
2720,The Prestige,2006,USA,130,English,PG-13,53082743,4e7
2721,The Pursuit of Happyness,2006,USA,117,English,PG-13,162586036,55e6
2722,The Queen,2006,UK,94,English,PG-13,56437947,98e5
2723,The Sentinel,2006,USA,107,English,PG-13,36279230,6e7
2724,The Shaggy Dog,2006,USA,98,English,PG,61112916,5e7
2725,The Texas Chainsaw Massacre: The Beginning,2006,USA,83,English,R,39511038,16e6
2726,The Tooth Fairy,2006,USA,89,English,NA,NA,15e5
2727,The Trials of Darryl Hunt,2006,USA,106,English,PG-13,1111,2e5
2728,The Ultimate Gift,2006,USA,114,English,PG,3420871,NA
2729,The Wind That Shakes the Barley,2006,Ireland,127,English,Not Rated,1829142,NA
2730,This Is England,2006,UK,101,English,Unrated,327919,15e5
2731,Thr3e,2006,Poland,101,English,PG-13,978908,24e5
2732,Ultraviolet,2006,USA,94,English,PG-13,18500966,3e7
2733,Unaccompanied Minors,2006,USA,90,English,PG,16647384,26e6
2734,Underworld: Evolution,2006,USA,102,English,R,62318875,5e7
2735,United 93,2006,USA,111,English,R,31471430,15e6
2736,Valley of the Heart's Delight,2006,USA,100,English,NA,118666,25e5
2737,Valley of the Wolves: Iraq,2006,Turkey,122,Arabic,NA,NA,83e5
2738,Volver,2006,Spain,121,Spanish,R,12899702,NA
2739,We Are Marshall,2006,USA,131,English,PG,43532294,65e6
2740,When a Stranger Calls,2006,USA,87,English,PG-13,47860214,15e6
2741,Who Killed the Electric Car?,2006,USA,92,English,PG,1677838,1e6
2742,Wordplay,2006,USA,94,English,PG,3117666,NA
2743,World Trade Center,2006,USA,129,English,PG-13,70236496,63e6
2744,Wristcutters: A Love Story,2006,USA,88,English,R,104077,1e6
2745,X-Men: The Last Stand,2006,Canada,104,English,PG-13,234360014,21e7
2746,"You, Me and Dupree",2006,USA,110,English,PG-13,75604320,54e6
2747,Zoom,2006,USA,83,English,PG,11631245,35e6
2748,[Rec],2007,Spain,78,Spanish,R,NA,15e5
2749,1408,2007,USA,114,English,PG-13,71975611,25e6
2750,28 Weeks Later,2007,UK,100,English,R,28637507,15e6
2751,3:10 to Yuma,2007,USA,122,English,R,53574088,55e6
2752,30 Days of Night,2007,USA,113,English,R,39568996,32e6
2753,"4 Months, 3 Weeks and 2 Days",2007,Romania,113,Romanian,Not Rated,1185783,59e4
2754,88 Minutes,2007,USA,108,English,R,16930884,3e7
2755,A Dog's Breakfast,2007,Canada,88,English,NA,NA,12e4
2756,A Dog's Breakfast,2007,Canada,88,English,NA,NA,12e4
2757,A Mighty Heart,2007,USA,108,English,R,9172810,16e6
2758,Across the Universe,2007,USA,133,English,PG-13,24343673,45e6
2759,Across the Universe,2007,USA,133,English,PG-13,24343673,45e6
2760,Aliens vs. Predator: Requiem,2007,USA,102,English,R,41797066,4e7
2761,All Hat,2007,Canada,89,English,R,NA,5e6
2762,Alvin and the Chipmunks,2007,USA,92,English,PG,217326336,6e7
2763,American Gangster,2007,USA,176,English,R,130127620,1e8
2764,And Then Came Love,2007,USA,90,English,NA,NA,989e3
2765,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,USA,86,English,R,5518918,75e4
2766,Arn: The Knight Templar,2007,Sweden,270,Swedish,NA,NA,25e6
2767,Arnolds Park,2007,USA,103,English,PG-13,23616,6e5
2768,Atonement,2007,UK,123,English,R,50921738,3e7
2769,August Rush,2007,USA,114,English,PG,31655091,3e7
2770,Awake,2007,USA,84,English,R,14373825,86e5
2771,Because I Said So,2007,USA,102,English,PG-13,42640890,NA
2772,Becoming Jane,2007,UK,120,English,PG,18663911,165e5
2773,Bee Movie,2007,USA,91,English,PG,126597121,15e7
2774,Beowulf,2007,USA,115,English,PG-13,82161969,15e7
2775,Blades of Glory,2007,USA,93,English,PG-13,118153533,61e6
2776,Blonde Ambition,2007,USA,93,English,PG-13,5561,1e7
2777,Blood and Chocolate,2007,USA,98,English,PG-13,3525161,NA
2778,Brick Lane,2007,UK,101,English,PG-13,1094998,NA
2779,Bridge to Terabithia,2007,USA,96,English,PG,82234139,17e6
2780,Brooklyn Rules,2007,USA,99,English,R,398420,8e6
2781,Caramel,2007,France,95,Arabic,PG,1060591,13e5
2782,Certifiably Jonathan,2007,USA,85,English,NA,7826,12e5
2783,Charlie Bartlett,2007,USA,97,English,R,3950294,12e6
2784,Charlie Wilson's War,2007,USA,102,English,R,66636385,75e6
2785,Closure,2007,UK,80,English,R,NA,18e5
2786,Code Name: The Cleaner,2007,USA,91,English,PG-13,8104069,2e7
2787,Control,2007,UK,122,English,R,871577,45e5
2788,Daddy Day Camp,2007,USA,89,English,PG,13235267,6e6
2789,Death at a Funeral,2007,USA,87,English,R,8579684,9e6
2790,Death at a Funeral,2007,USA,87,English,R,8579684,9e6
2791,Death Sentence,2007,USA,111,English,R,9525276,2e7
2792,Diary of the Dead,2007,USA,95,English,R,952620,2e6
2793,Disturbia,2007,USA,105,English,PG-13,80050171,2e7
2794,Disturbia,2007,USA,105,English,PG-13,80050171,2e7
2795,Dragon Wars: D-War,2007,South Korea,107,English,PG-13,10956379,35e6
2796,Eastern Promises,2007,USA,96,English,R,17114882,25e6
2797,Elite Squad,2007,Brazil,115,Portuguese,R,8060,4e6
2798,Elizabeth: The Golden Age,2007,UK,114,English,PG-13,16264475,55e6
2799,Enchanted,2007,USA,107,English,PG,127706877,85e6
2800,Epic Movie,2007,USA,93,English,PG-13,39737645,2e7
2801,Evan Almighty,2007,USA,96,English,PG,100289690,175e6
2802,Fantastic 4: Rise of the Silver Surfer,2007,USA,92,English,PG,131920333,13e7
2803,Finishing the Game: The Search for a New Bruce Lee,2007,USA,84,English,Not Rated,52850,5e5
2804,Freedom Writers,2007,Germany,123,English,PG-13,36581633,21e6
2805,Funny Games,2007,USA,111,English,R,1294640,15e6
2806,"Gandhi, My Father",2007,India,136,Hindi,NA,240425,NA
2807,Georgia Rule,2007,USA,113,English,R,18882880,2e7
2808,Ghost Rider,2007,USA,123,English,PG-13,115802596,11e7
2809,Good Luck Chuck,2007,USA,101,English,R,35000629,25e6
2810,Gracie,2007,USA,95,English,PG-13,2955039,9e6
2811,Grindhouse,2007,USA,189,English,R,25031037,53e6
2812,Hairspray,2007,USA,117,English,PG,118823091,75e6
2813,Hannibal Rising,2007,UK,131,English,R,27667947,5e7
2814,Harry Potter and the Order of the Phoenix,2007,UK,138,English,PG-13,292000866,15e7
2815,Hitman,2007,France,94,English,R,39687528,24e6
2816,Hostel: Part II,2007,USA,94,English,R,17544812,1e7
2817,Hot Fuzz,2007,UK,121,English,R,23618786,8e6
2818,Hot Rod,2007,USA,88,English,PG-13,13920741,NA
2819,How She Move,2007,Canada,94,English,PG-13,7070459,NA
2820,I Am Legend,2007,USA,104,English,PG-13,256386216,15e7
2821,I Think I Love My Wife,2007,USA,94,English,R,12550242,NA
2822,I'm Not There.,2007,USA,135,English,R,4001121,2e7
2823,In the Land of Women,2007,USA,97,English,PG-13,11043445,1e7
2824,In the Name of the King: A Dungeon Siege Tale,2007,Germany,156,English,PG-13,4535117,6e7
2825,In the Shadow of the Moon,2007,UK,100,English,PG,1134049,2e6
2826,In the Valley of Elah,2007,USA,121,English,R,6777589,NA
2827,Into the Wild,2007,USA,148,English,R,18352454,15e6
2828,Jack Brooks: Monster Slayer,2007,Canada,90,English,R,NA,25e5
2829,Jesus People,2007,USA,35,English,NA,NA,NA
2830,Juno,2007,USA,96,English,PG-13,143492840,75e5
2831,Juno,2007,USA,96,English,PG-13,143492840,75e5
2832,Kiss the Bride,2007,USA,100,English,R,31937,5e5
2833,Knocked Up,2007,USA,133,English,R,148734225,3e7
2834,Lars and the Real Girl,2007,USA,106,English,PG-13,5949693,12e6
2835,License to Wed,2007,USA,91,English,PG-13,43792641,35e6
2836,Lions for Lambs,2007,USA,92,English,R,14998070,35e6
2837,Live Free or Die Hard,2007,USA,129,English,PG-13,134520804,11e7
2838,Love in the Time of Cholera,2007,USA,139,English,R,4584886,45e6
2839,Lucky You,2007,USA,124,English,PG-13,5755286,55e6
2840,Married Life,2007,USA,91,English,PG-13,1506998,12e6
2841,Martian Child,2007,USA,106,English,PG,7486906,27e6
2842,Michael Clayton,2007,USA,119,English,R,49024969,25e6
2843,Molière,2007,France,120,French,PG-13,634277,16e6
2844,Mongol: The Rise of Genghis Khan,2007,Russia,126,Mongolian,R,5701643,2e7
2845,Mr. Bean's Holiday,2007,UK,90,English,PG,32553210,25e6
2846,Music and Lyrics,2007,USA,95,English,PG-13,50562555,NA
2847,My Blueberry Nights,2007,Hong Kong,95,English,PG-13,866778,1e7
2848,My Name Is Bruce,2007,USA,84,English,R,173066,15e5
2849,Namastey London,2007,India,128,Hindi,NA,1207007,NA
2850,Nancy Drew,2007,USA,99,English,PG,25584685,2e7
2851,No Country for Old Men,2007,USA,122,English,R,74273505,25e6
2852,No End in Sight,2007,USA,102,English,NA,1430185,2e6
2853,No Reservations,2007,USA,104,English,PG,43097652,28e6
2854,Ocean's Thirteen,2007,USA,122,English,PG-13,117144465,85e6
2855,Once,2007,Ireland,85,English,R,9437933,18e4
2856,P.S. I Love You,2007,USA,126,English,PG-13,53680848,3e7
2857,Paranormal Activity,2007,USA,84,English,R,107917283,15e3
2858,Partition,2007,Canada,116,English,R,NA,1e7
2859,Persepolis,2007,France,89,French,PG-13,4443403,73e5
2860,Pirates of the Caribbean: At World's End,2007,USA,169,English,PG-13,309404152,3e8
2861,Premonition,2007,USA,96,English,PG-13,47852604,2e7
2862,Purple Violets,2007,USA,103,English,NA,NA,4e6
2863,Ratatouille,2007,USA,111,English,G,206435493,15e7
2864,Redacted,2007,USA,90,English,R,65087,5e6
2865,Reign Over Me,2007,USA,124,English,R,19661987,2e7
2866,Rendition,2007,USA,122,English,R,9664316,275e5
2867,Reno 911!: Miami,2007,USA,84,English,R,20339754,1e7
2868,Resident Evil: Extinction,2007,France,94,English,R,50648679,45e6
2869,Resurrecting the Champ,2007,USA,112,English,PG-13,3169424,13e6
2870,Rockaway,2007,USA,90,English,R,NA,2e6
2871,"Run, Fatboy, Run",2007,UK,100,English,PG-13,5998971,NA
2872,Rush Hour 3,2007,USA,91,English,PG-13,140080850,14e7
2873,Savage Grace,2007,Spain,97,English,Not Rated,434417,46e5
2874,Saw IV,2007,USA,96,English,R,63270259,1e7
2875,September Dawn,2007,USA,111,NA,R,1066555,11e6
2876,Shattered,2007,UK,98,English,R,NA,2e7
2877,Shooter,2007,USA,124,English,R,46975183,61e6
2878,Shotgun Stories,2007,USA,92,English,PG-13,45661,NA
2879,Shrek the Third,2007,USA,93,English,PG,320706665,16e7
2880,Sicko,2007,USA,123,English,PG-13,24530513,9e6
2881,Slacker Uprising,2007,USA,102,English,NA,NA,2e6
2882,Snow Angels,2007,USA,107,English,R,402820,NA
2883,Spider-Man 3,2007,USA,156,English,PG-13,336530303,258e6
2884,Spider-Man 3,2007,USA,156,English,PG-13,336530303,258e6
2885,St. Trinian's,2007,UK,100,English,PG-13,NA,135e5
2886,Stardust,2007,UK,127,English,PG-13,38345403,7e7
2887,Stomp the Yard,2007,USA,109,English,PG-13,61356221,14e6
2888,Sublime,2007,USA,113,English,R,NA,18e5
2889,Sunshine,2007,UK,107,English,R,3675072,26e6
2890,Superbad,2007,USA,119,English,R,121463226,2e7
2891,Surf's Up,2007,USA,85,English,PG,58867694,1e8
2892,Sydney White,2007,USA,108,English,PG-13,11702090,165e5
2893,Ta Ra Rum Pum,2007,USA,153,Hindi,NA,872643,6e6
2894,Taxi to the Dark Side,2007,USA,53,English,R,274661,1e6
2895,Teeth,2007,USA,94,English,R,347578,NA
2896,The Assassination of Jesse James by the Coward Robert Ford,2007,USA,160,English,R,3904982,3e7
2897,The Bourne Ultimatum,2007,USA,115,English,PG-13,227137090,11e7
2898,The Brothers Solomon,2007,USA,93,English,R,900926,1e7
2899,The Bucket List,2007,USA,97,English,PG-13,93452056,45e6
2900,The Color of Freedom,2007,Germany,118,English,R,NA,3e7
2901,The Death and Life of Bobby Z,2007,USA,97,English,R,NA,22e6
